FID,Rock Name,Rock Type,Aquifer Name,Aquifer Code,Shape__Area,Shape__Length
4396,Igneous and metamorphic-rock,600,Hawaiian Sedimentary Deposit Aquifers,609,889883.2266,5974.316763
4397,Igneous and metamorphic-rock,600,Hawaiian Sedimentary Deposit Aquifers,609,300416.4492,2630.666542
4398,Igneous and metamorphic-rock,600,Hawaiian Sedimentary Deposit Aquifers,609,22395.0625,576.7620483
4399,Igneous and metamorphic-rock,600,Hawaiian Sedimentary Deposit Aquifers,609,22747.57813,583.0895548
4400,Igneous and metamorphic-rock,600,Hawaiian Volcanic-rock Aquifers,608,445868.3984,3090.501337
4401,Igneous and metamorphic-rock,600,Hawaiian Sedimentary Deposit Aquifers,609,22589.23438,581.6539931
4402,Igneous and metamorphic-rock,600,Hawaiian Sedimentary Deposit Aquifers,609,38671.04297,811.0892787
4403,Igneous and metamorphic-rock,600,Hawaiian Sedimentary Deposit Aquifers,609,151278.3711,1903.972668
4404,Igneous and metamorphic-rock,600,Hawaiian Sedimentary Deposit Aquifers,609,533662.3789,3059.850473
4405,Igneous and metamorphic-rock,600,Hawaiian Sedimentary Deposit Aquifers,609,1629580.793,5082.457194
4406,Igneous and metamorphic-rock,600,Hawaiian Sedimentary Deposit Aquifers,609,471334.9883,2876.987954
4407,Igneous and metamorphic-rock,600,Hawaiian Sedimentary Deposit Aquifers,609,4893242.863,9485.969134
4408,Igneous and metamorphic-rock,600,Hawaiian Sedimentary Deposit Aquifers,609,239843.1484,2807.917653
4409,Igneous and metamorphic-rock,600,Hawaiian Sedimentary Deposit Aquifers,609,289506.9297,2570.218005
4410,Igneous and metamorphic-rock,600,Hawaiian Sedimentary Deposit Aquifers,609,156872.5938,1814.258724
4411,Igneous and metamorphic-rock,600,Hawaiian Sedimentary Deposit Aquifers,609,974633.0039,3957.716732
4412,Igneous and metamorphic-rock,600,Hawaiian Sedimentary Deposit Aquifers,609,362516.6211,2789.662667
4413,Igneous and metamorphic-rock,600,Hawaiian Sedimentary Deposit Aquifers,609,494106.6484,3435.172172
4414,Igneous and metamorphic-rock,600,Hawaiian Sedimentary Deposit Aquifers,609,391370.707,3824.760851
4415,Igneous and metamorphic-rock,600,Hawaiian Sedimentary Deposit Aquifers,609,2490541.875,8329.66743
4416,Igneous and metamorphic-rock,600,Hawaiian Sedimentary Deposit Aquifers,609,1584522.859,7574.301672
4417,Igneous and metamorphic-rock,600,Hawaiian Sedimentary Deposit Aquifers,609,880257.5742,5123.26133
4418,Igneous and metamorphic-rock,600,Hawaiian Sedimentary Deposit Aquifers,609,300910.1406,2429.887978
4419,Igneous and metamorphic-rock,600,Hawaiian Sedimentary Deposit Aquifers,609,191102.957,1756.709978
4420,Igneous and metamorphic-rock,600,Hawaiian Sedimentary Deposit Aquifers,609,328098.2422,2182.385471
4421,Igneous and metamorphic-rock,600,Hawaiian Sedimentary Deposit Aquifers,609,2340958.297,9246.842749
4422,Igneous and metamorphic-rock,600,Hawaiian Volcanic-rock Aquifers,608,133896294.1,74284.90076
4423,Igneous and metamorphic-rock,600,Hawaiian Sedimentary Deposit Aquifers,609,146234.5078,1749.967049
4424,Igneous and metamorphic-rock,600,Hawaiian Sedimentary Deposit Aquifers,609,116946.0195,1470.048343
4425,Igneous and metamorphic-rock,600,Hawaiian Sedimentary Deposit Aquifers,609,95059.91016,1332.723326
4426,Igneous and metamorphic-rock,600,Hawaiian Sedimentary Deposit Aquifers,609,149686.6914,1863.638634
4427,Igneous and metamorphic-rock,600,Hawaiian Sedimentary Deposit Aquifers,609,89201.97266,1201.252816
4428,Igneous and metamorphic-rock,600,Hawaiian Sedimentary Deposit Aquifers,609,83003.21094,1131.92613
4429,Igneous and metamorphic-rock,600,Hawaiian Sedimentary Deposit Aquifers,609,236029.0703,2815.086315
4430,Igneous and metamorphic-rock,600,Hawaiian Sedimentary Deposit Aquifers,609,69571.35938,1161.813534
4431,Igneous and metamorphic-rock,600,Hawaiian Sedimentary Deposit Aquifers,609,79279.17188,1151.967536
4432,Igneous and metamorphic-rock,600,Hawaiian Sedimentary Deposit Aquifers,609,79535.83984,1181.680511
4433,Igneous and metamorphic-rock,600,Hawaiian Sedimentary Deposit Aquifers,609,394006.3789,2817.885618
4434,Igneous and metamorphic-rock,600,Hawaiian Sedimentary Deposit Aquifers,609,209497.4141,1869.271458
4435,Igneous and metamorphic-rock,600,Hawaiian Sedimentary Deposit Aquifers,609,132137.8867,2106.34836
4436,Igneous and metamorphic-rock,600,Hawaiian Sedimentary Deposit Aquifers,609,704830.3477,4120.061728
4437,Igneous and metamorphic-rock,600,Hawaiian Volcanic-rock Aquifers,608,11710775601,1011708.774
4438,Igneous and metamorphic-rock,600,Hawaiian Sedimentary Deposit Aquifers,609,1841899.121,9123.68027
4439,Igneous and metamorphic-rock,600,Hawaiian Sedimentary Deposit Aquifers,609,713890.7695,7765.457878
4440,Igneous and metamorphic-rock,600,Hawaiian Sedimentary Deposit Aquifers,609,202392.5508,3684.56384
4441,Igneous and metamorphic-rock,600,Hawaiian Sedimentary Deposit Aquifers,609,439635.9727,4561.568736
4442,Igneous and metamorphic-rock,600,Hawaiian Sedimentary Deposit Aquifers,609,369239.9648,4189.11215
4443,Igneous and metamorphic-rock,600,Hawaiian Sedimentary Deposit Aquifers,609,4343787.512,19676.93343
4444,Igneous and metamorphic-rock,600,Hawaiian Sedimentary Deposit Aquifers,609,596989.1172,7291.732311
4445,Igneous and metamorphic-rock,600,Hawaiian Sedimentary Deposit Aquifers,609,5908467.328,22677.19445
4446,Igneous and metamorphic-rock,600,Hawaiian Sedimentary Deposit Aquifers,609,184745.5547,1779.750653
4447,Igneous and metamorphic-rock,600,Hawaiian Sedimentary Deposit Aquifers,609,72103.10938,1254.189068
4448,Igneous and metamorphic-rock,600,Hawaiian Sedimentary Deposit Aquifers,609,124496.7734,1494.492607
4449,Igneous and metamorphic-rock,600,Hawaiian Sedimentary Deposit Aquifers,609,126775.9258,1742.685649
4450,Igneous and metamorphic-rock,600,Hawaiian Sedimentary Deposit Aquifers,609,506626.957,3978.026713
4451,Igneous and metamorphic-rock,600,Hawaiian Sedimentary Deposit Aquifers,609,904969.793,5212.57832
4452,Igneous and metamorphic-rock,600,Hawaiian Sedimentary Deposit Aquifers,609,4977294.199,21331.49023
4453,Igneous and metamorphic-rock,600,Hawaiian Sedimentary Deposit Aquifers,609,709361.9727,4561.488539
4454,Igneous and metamorphic-rock,600,Hawaiian Sedimentary Deposit Aquifers,609,192961.5977,2058.770546
4455,Igneous and metamorphic-rock,600,Hawaiian Sedimentary Deposit Aquifers,609,41803681.63,70342.97276
4456,Igneous and metamorphic-rock,600,Hawaiian Sedimentary Deposit Aquifers,609,537046.6055,5060.261966
4457,Igneous and metamorphic-rock,600,Hawaiian Sedimentary Deposit Aquifers,609,9909098.578,18657.38899
