FID,REF_ID_COD,MAP_UNIT_L,MAP_UNIT_N,G_MRG_U_L,GEO_GENL_U,AGE_NAME,TERRANE_GR,FORMATION,MEMBER,UNIT,G_ROCK_TYP,LITH_M_U_L,LITH_GEN_U,LTH_RK_TYP,LAYERING,CR_GRN_SIZ,GETEC_PROP,GN_LITH_TY,ArcJoinKey,MapUnitPK,DataSource,IDConf,Shape_Leng,Shape_Area
1239,WalkGW1967,Tjd,John Day Formation,vlc.EO.jdcl.jd.nd.nd.fel,volcaniclastic rocks,Eocene/Oligocene,John Day/Clarno Group,John Day Formation,No data,no data,felsic composition lithologies,sv.MIX.Lsd.CGsd.End,sedimentary/volcanic rocks,mixed lithologies,some data,some data crystals/grains,no data,volcanic,WalkGW1967Tjd,12191,306,99,59068.53936,97640327.67
1240,WalkGW1967,Twt,"Tuffaceous sedimentary rocks, tuffs, and interbedded basalt and andesite flows",vlc.M.hbv.rt.nd.nd.aft,volcaniclastic rocks,Miocene,Harney Basin Volcanic Field,Rattlesnake Ashflow Tuff,No data,no data,ashflow tuff,vlc.TFF.Lnd.Gnd.End,volcaniclastic rocks,tuff,no data,no data,no data,volcanic,WalkGW1967Twt,12198,306,99,18415.73131,14820523.7
1241,WalkGW1967,QTd,Dike and small intrusive rocks,intr.MP.nvr.nd.nd.nd.bas,intrusive rocks,Miocene/Pliocene,Neogene volcanic rocks,No data,No data,no data,basalt,intr.BAS_GBR.Lnd.Cnd.End,intrusive rocks,basalt/gabbro,no data,no data,no data,plutonic,WalkGW1967QTd,12177,306,99,6098.17293,1714354.064
1242,WalkGW1967,Tjd,John Day Formation,vlc.EO.jdcl.jd.nd.nd.fel,volcaniclastic rocks,Eocene/Oligocene,John Day/Clarno Group,John Day Formation,No data,no data,felsic composition lithologies,sv.MIX.Lsd.CGsd.End,sedimentary/volcanic rocks,mixed lithologies,some data,some data crystals/grains,no data,volcanic,WalkGW1967Tjd,12191,306,99,25258.38418,9491867.604
1243,WalkGW1967,Tjd,John Day Formation,vlc.EO.jdcl.jd.nd.nd.fel,volcaniclastic rocks,Eocene/Oligocene,John Day/Clarno Group,John Day Formation,No data,no data,felsic composition lithologies,sv.MIX.Lsd.CGsd.End,sedimentary/volcanic rocks,mixed lithologies,some data,some data crystals/grains,no data,volcanic,WalkGW1967Tjd,12191,306,99,12323.15245,6096776.396
1244,WalkGW1967,Tob,"Tuffaceous sedimentary rocks, tuffs, and interbedded basalt and andesite flows",vol.P.hlp.nd.nd.nd.bas,volcanic rocks,Pliocene,High Lava Plains Volcanic Province,No data,No data,no data,basalt,flw.BAS.Lnd.Cnd.End,lava flows,basalt,no data,no data,no data,volcanic,WalkGW1967Tob,12192,306,99,24757.83734,29797439.04
1245,WalkGW1967,Tob,"Tuffaceous sedimentary rocks, tuffs, and interbedded basalt and andesite flows",vol.P.hlp.nd.nd.nd.bas,volcanic rocks,Pliocene,High Lava Plains Volcanic Province,No data,No data,no data,basalt,flw.BAS.Lnd.Cnd.End,lava flows,basalt,no data,no data,no data,volcanic,WalkGW1967Tob,12192,306,99,11294.33204,5233370.264
1246,WalkGW1967,Qp,Playa deposits,sed.Q.qsd.py.nd.nd.fine,sediments,Quaternary,Quaternary surficial deposits,Playa lake deposits,No data,no data,fine grained sediments,unc.LKE.Lnd.Gslt_gvl.End,unconsolidated rocks,lacustrine,no data,silt to gravel grains,no data,surficial sediments,WalkGW1967Qp,12169,306,99,4178.305116,1139017.36
1247,WalkGW1967,Tjd,John Day Formation,vlc.EO.jdcl.jd.nd.nd.fel,volcaniclastic rocks,Eocene/Oligocene,John Day/Clarno Group,John Day Formation,No data,no data,felsic composition lithologies,sv.MIX.Lsd.CGsd.End,sedimentary/volcanic rocks,mixed lithologies,some data,some data crystals/grains,no data,volcanic,WalkGW1967Tjd,12191,306,99,18497.25556,7709598.241
1248,WalkGW1967,Twt,"Tuffaceous sedimentary rocks, tuffs, and interbedded basalt and andesite flows",vlc.M.hbv.rt.nd.nd.aft,volcaniclastic rocks,Miocene,Harney Basin Volcanic Field,Rattlesnake Ashflow Tuff,No data,no data,ashflow tuff,vlc.TFF.Lnd.Gnd.End,volcaniclastic rocks,tuff,no data,no data,no data,volcanic,WalkGW1967Twt,12198,306,99,355304.8976,583841936
1249,WalkGW1967,Tcr1,Basalt and basaltic andesite of Columbia River Group,vol.M.cr.prn.nd.nd.bas,volcanic rocks,Miocene,Columbia River Basalt Group,Prineville Basalt,No data,no data,basalt,flw.BAS.Lnd.Cf.Emix,lava flows,basalt,no data,fine crystals,mixed,volcanic,WalkGW1967Tcr1,12190,306,99,7393.869848,1230968.993
1250,WalkGW1967,Tob,"Tuffaceous sedimentary rocks, tuffs, and interbedded basalt and andesite flows",vol.P.hlp.nd.nd.nd.bas,volcanic rocks,Pliocene,High Lava Plains Volcanic Province,No data,No data,no data,basalt,flw.BAS.Lnd.Cnd.End,lava flows,basalt,no data,no data,no data,volcanic,WalkGW1967Tob,12192,306,99,8525.633848,3259348.355
1251,WalkGW1967,Tjd,John Day Formation,vlc.EO.jdcl.jd.nd.nd.fel,volcaniclastic rocks,Eocene/Oligocene,John Day/Clarno Group,John Day Formation,No data,no data,felsic composition lithologies,sv.MIX.Lsd.CGsd.End,sedimentary/volcanic rocks,mixed lithologies,some data,some data crystals/grains,no data,volcanic,WalkGW1967Tjd,12191,306,99,5256.945632,1087384.453
1252,WalkGW1967,Tjd,John Day Formation,vlc.EO.jdcl.jd.nd.nd.fel,volcaniclastic rocks,Eocene/Oligocene,John Day/Clarno Group,John Day Formation,No data,no data,felsic composition lithologies,sv.MIX.Lsd.CGsd.End,sedimentary/volcanic rocks,mixed lithologies,some data,some data crystals/grains,no data,volcanic,WalkGW1967Tjd,12191,306,99,12988.82001,7344204.176
1253,WalkGW1967,Tjd,John Day Formation,vlc.EO.jdcl.jd.nd.nd.fel,volcaniclastic rocks,Eocene/Oligocene,John Day/Clarno Group,John Day Formation,No data,no data,felsic composition lithologies,sv.MIX.Lsd.CGsd.End,sedimentary/volcanic rocks,mixed lithologies,some data,some data crystals/grains,no data,volcanic,WalkGW1967Tjd,12191,306,99,15827.88179,5743651.093
1254,WalkGW1967,QTg,Pediment gravels,sed.TQ.nsr.ter.nd.nd.mix,sediments,Tertiary/Quaternary,Neogene sedimentary rocks,Terrace deposits,No data,no data,mixed grained sediments,sed.GVL.Lnd.Gpeb.End,sediments,gravel,no data,pebble grains,no data,surficial sediments,WalkGW1967QTg,12178,306,99,5187.712522,1411460.201
1255,WalkGW1967,QTg,Pediment gravels,sed.TQ.nsr.ter.nd.nd.mix,sediments,Tertiary/Quaternary,Neogene sedimentary rocks,Terrace deposits,No data,no data,mixed grained sediments,sed.GVL.Lnd.Gpeb.End,sediments,gravel,no data,pebble grains,no data,surficial sediments,WalkGW1967QTg,12178,306,99,12014.89235,3754303.214
1256,WalkGW1967,Tts,Tuffaceous sedimentary rocks,srt.M.nsr.nd.nd.nd.tfx,terrestrial sedimentary rocks,Miocene,Neogene sedimentary rocks,No data,No data,no data,tuffaceous sedimentary rocks,srx.MIX.Lpo_wl.Gnd.End,sedimentary rocks,mixed lithologies,poor/well,no data,no data,sedimentary,WalkGW1967Tts,12195,306,99,129042.2013,45520664.92
1257,WalkGW1967,QTg,Pediment gravels,sed.TQ.nsr.ter.nd.nd.mix,sediments,Tertiary/Quaternary,Neogene sedimentary rocks,Terrace deposits,No data,no data,mixed grained sediments,sed.GVL.Lnd.Gpeb.End,sediments,gravel,no data,pebble grains,no data,surficial sediments,WalkGW1967QTg,12178,306,99,5155.967938,1388807.477
1258,WalkGW1967,Tjd,John Day Formation,vlc.EO.jdcl.jd.nd.nd.fel,volcaniclastic rocks,Eocene/Oligocene,John Day/Clarno Group,John Day Formation,No data,no data,felsic composition lithologies,sv.MIX.Lsd.CGsd.End,sedimentary/volcanic rocks,mixed lithologies,some data,some data crystals/grains,no data,volcanic,WalkGW1967Tjd,12191,306,99,39499.31916,35449034.73
1259,WalkGW1967,Tjd,John Day Formation,vlc.EO.jdcl.jd.nd.nd.fel,volcaniclastic rocks,Eocene/Oligocene,John Day/Clarno Group,John Day Formation,No data,no data,felsic composition lithologies,sv.MIX.Lsd.CGsd.End,sedimentary/volcanic rocks,mixed lithologies,some data,some data crystals/grains,no data,volcanic,WalkGW1967Tjd,12191,306,99,3816.390091,989498.2919
1260,WalkGW1967,QTp,Pyroclastic rocks of basaltic cinder cones,vp.MP.nvr.nd.nd.nd.bas,vent and pyroclastic rocks,Miocene/Pliocene,Neogene volcanic rocks,No data,No data,no data,basalt,vlc.BXA.Lnd.Gslt_peb.End,volcaniclastic rocks,breccia,no data,silt to pebble grains,no data,volcanic,WalkGW1967QTp,12181,306,99,581.9925252,8383.89477
1261,WalkGW1967,Ta,"Andesite flows, breccias, and sedimentary rocks",vlc.EO.jdcl.cl.nd.nd.mix,volcaniclastic rocks,Eocene/Oligocene,John Day/Clarno Group,Clarno Formation,No data,no data,mixed lithologies,sv.AND_MFB.Lnd.CGnd.End,sedimentary/volcanic rocks,andesite/mudflow breccia,no data,no data,no data,volcanic,WalkGW1967Ta,12186,306,99,18496.89785,6498119.545
1262,WalkGW1967,Tjd,John Day Formation,vlc.EO.jdcl.jd.nd.nd.fel,volcaniclastic rocks,Eocene/Oligocene,John Day/Clarno Group,John Day Formation,No data,no data,felsic composition lithologies,sv.MIX.Lsd.CGsd.End,sedimentary/volcanic rocks,mixed lithologies,some data,some data crystals/grains,no data,volcanic,WalkGW1967Tjd,12191,306,99,14989.83663,8392895.08
1263,WalkGW1967,Tst,"Tuffaceous sedimentary rocks, tuffs, and interbedded basalt and andesite flows",srt.M.nsr.nd.nd.nd.tfx,terrestrial sedimentary rocks,Miocene,Neogene sedimentary rocks,No data,No data,no data,tuffaceous sedimentary rocks,sv.MIX.Lnd.CGsd.End,sedimentary/volcanic rocks,mixed lithologies,no data,some data crystals/grains,no data,sedimentary,WalkGW1967Tst,12194,306,99,8807.432908,2091815.405
1264,WalkGW1967,Tjd,John Day Formation,vlc.EO.jdcl.jd.nd.nd.fel,volcaniclastic rocks,Eocene/Oligocene,John Day/Clarno Group,John Day Formation,No data,no data,felsic composition lithologies,sv.MIX.Lsd.CGsd.End,sedimentary/volcanic rocks,mixed lithologies,some data,some data crystals/grains,no data,volcanic,WalkGW1967Tjd,12191,306,99,14299.07577,6222707.021
1265,WalkGW1967,Twt,"Tuffaceous sedimentary rocks, tuffs, and interbedded basalt and andesite flows",vlc.M.hbv.rt.nd.nd.aft,volcaniclastic rocks,Miocene,Harney Basin Volcanic Field,Rattlesnake Ashflow Tuff,No data,no data,ashflow tuff,vlc.TFF.Lnd.Gnd.End,volcaniclastic rocks,tuff,no data,no data,no data,volcanic,WalkGW1967Twt,12198,306,99,6622.731935,2908540.521
1266,WalkGW1967,Tjd,John Day Formation,vlc.EO.jdcl.jd.nd.nd.fel,volcaniclastic rocks,Eocene/Oligocene,John Day/Clarno Group,John Day Formation,No data,no data,felsic composition lithologies,sv.MIX.Lsd.CGsd.End,sedimentary/volcanic rocks,mixed lithologies,some data,some data crystals/grains,no data,volcanic,WalkGW1967Tjd,12191,306,99,6007.904495,1933619.899
1267,WalkGW1967,Twt,"Tuffaceous sedimentary rocks, tuffs, and interbedded basalt and andesite flows",vlc.M.hbv.rt.nd.nd.aft,volcaniclastic rocks,Miocene,Harney Basin Volcanic Field,Rattlesnake Ashflow Tuff,No data,no data,ashflow tuff,vlc.TFF.Lnd.Gnd.End,volcaniclastic rocks,tuff,no data,no data,no data,volcanic,WalkGW1967Twt,12198,306,99,2169.343741,339468.9608
1268,WalkGW1967,Tob,"Tuffaceous sedimentary rocks, tuffs, and interbedded basalt and andesite flows",vol.P.hlp.nd.nd.nd.bas,volcanic rocks,Pliocene,High Lava Plains Volcanic Province,No data,No data,no data,basalt,flw.BAS.Lnd.Cnd.End,lava flows,basalt,no data,no data,no data,volcanic,WalkGW1967Tob,12192,306,99,208498.253,660306304.7
1269,WalkGW1967,Ta,"Andesite flows, breccias, and sedimentary rocks",vlc.EO.jdcl.cl.nd.nd.mix,volcaniclastic rocks,Eocene/Oligocene,John Day/Clarno Group,Clarno Formation,No data,no data,mixed lithologies,sv.AND_MFB.Lnd.CGnd.End,sedimentary/volcanic rocks,andesite/mudflow breccia,no data,no data,no data,volcanic,WalkGW1967Ta,12186,306,99,9839.996661,853773.6856
1270,WalkGW1967,Tob,"Tuffaceous sedimentary rocks, tuffs, and interbedded basalt and andesite flows",vol.P.hlp.nd.nd.nd.bas,volcanic rocks,Pliocene,High Lava Plains Volcanic Province,No data,No data,no data,basalt,flw.BAS.Lnd.Cnd.End,lava flows,basalt,no data,no data,no data,volcanic,WalkGW1967Tob,12192,306,99,8234.594592,2095308.679
1271,WalkGW1967,Tts,Tuffaceous sedimentary rocks,srt.M.nsr.nd.nd.nd.tfx,terrestrial sedimentary rocks,Miocene,Neogene sedimentary rocks,No data,No data,no data,tuffaceous sedimentary rocks,srx.MIX.Lpo_wl.Gnd.End,sedimentary rocks,mixed lithologies,poor/well,no data,no data,sedimentary,WalkGW1967Tts,12195,306,99,1233.134055,71174.79534
1272,WalkGW1967,Tts,Tuffaceous sedimentary rocks,srt.M.nsr.nd.nd.nd.tfx,terrestrial sedimentary rocks,Miocene,Neogene sedimentary rocks,No data,No data,no data,tuffaceous sedimentary rocks,srx.MIX.Lpo_wl.Gnd.End,sedimentary rocks,mixed lithologies,poor/well,no data,no data,sedimentary,WalkGW1967Tts,12195,306,99,839.9099623,14089.24211
1273,WalkGW1967,Tts,Tuffaceous sedimentary rocks,srt.M.nsr.nd.nd.nd.tfx,terrestrial sedimentary rocks,Miocene,Neogene sedimentary rocks,No data,No data,no data,tuffaceous sedimentary rocks,srx.MIX.Lpo_wl.Gnd.End,sedimentary rocks,mixed lithologies,poor/well,no data,no data,sedimentary,WalkGW1967Tts,12195,306,99,38094.10518,12104886.25
1274,WalkGW1967,Tcr1,Basalt and basaltic andesite of Columbia River Group,vol.M.cr.prn.nd.nd.bas,volcanic rocks,Miocene,Columbia River Basalt Group,Prineville Basalt,No data,no data,basalt,flw.BAS.Lnd.Cf.Emix,lava flows,basalt,no data,fine crystals,mixed,volcanic,WalkGW1967Tcr1,12190,306,99,22346.61888,7683256.753
1275,WalkGW1967,Tjd,John Day Formation,vlc.EO.jdcl.jd.nd.nd.fel,volcaniclastic rocks,Eocene/Oligocene,John Day/Clarno Group,John Day Formation,No data,no data,felsic composition lithologies,sv.MIX.Lsd.CGsd.End,sedimentary/volcanic rocks,mixed lithologies,some data,some data crystals/grains,no data,volcanic,WalkGW1967Tjd,12191,306,99,6408.37483,2490475.517
1276,WalkGW1967,Qal,Alluvium and surficial aeolian deposits,sed.Q.qsd.al.nd.nd.mix,sediments,Quaternary,Quaternary surficial deposits,Alluvial deposits,No data,no data,mixed grained sediments,unc.MIX.Lnd.Gslt_gvl.End,unconsolidated rocks,mixed lithologies,no data,silt to gravel grains,no data,surficial sediments,WalkGW1967Qal,12163,306,99,45425.86256,39935808.69
1277,WalkGW1967,Tjd,John Day Formation,vlc.EO.jdcl.jd.nd.nd.fel,volcaniclastic rocks,Eocene/Oligocene,John Day/Clarno Group,John Day Formation,No data,no data,felsic composition lithologies,sv.MIX.Lsd.CGsd.End,sedimentary/volcanic rocks,mixed lithologies,some data,some data crystals/grains,no data,volcanic,WalkGW1967Tjd,12191,306,99,8023.226616,4121045.921
1278,WalkGW1967,Tjd,John Day Formation,vlc.EO.jdcl.jd.nd.nd.fel,volcaniclastic rocks,Eocene/Oligocene,John Day/Clarno Group,John Day Formation,No data,no data,felsic composition lithologies,sv.MIX.Lsd.CGsd.End,sedimentary/volcanic rocks,mixed lithologies,some data,some data crystals/grains,no data,volcanic,WalkGW1967Tjd,12191,306,99,11442.34903,5539859.092
1279,WalkGW1967,Twt,"Tuffaceous sedimentary rocks, tuffs, and interbedded basalt and andesite flows",vlc.M.hbv.rt.nd.nd.aft,volcaniclastic rocks,Miocene,Harney Basin Volcanic Field,Rattlesnake Ashflow Tuff,No data,no data,ashflow tuff,vlc.TFF.Lnd.Gnd.End,volcaniclastic rocks,tuff,no data,no data,no data,volcanic,WalkGW1967Twt,12198,306,99,12060.23824,7688693.119
1280,WalkGW1967,Tjd,John Day Formation,vlc.EO.jdcl.jd.nd.nd.fel,volcaniclastic rocks,Eocene/Oligocene,John Day/Clarno Group,John Day Formation,No data,no data,felsic composition lithologies,sv.MIX.Lsd.CGsd.End,sedimentary/volcanic rocks,mixed lithologies,some data,some data crystals/grains,no data,volcanic,WalkGW1967Tjd,12191,306,99,28787.49653,33347439.13
1281,WalkGW1967,Tjd,John Day Formation,vlc.EO.jdcl.jd.nd.nd.fel,volcaniclastic rocks,Eocene/Oligocene,John Day/Clarno Group,John Day Formation,No data,no data,felsic composition lithologies,sv.MIX.Lsd.CGsd.End,sedimentary/volcanic rocks,mixed lithologies,some data,some data crystals/grains,no data,volcanic,WalkGW1967Tjd,12191,306,99,2318.977249,364625.0255
1282,WalkGW1967,Tob,"Tuffaceous sedimentary rocks, tuffs, and interbedded basalt and andesite flows",vol.P.hlp.nd.nd.nd.bas,volcanic rocks,Pliocene,High Lava Plains Volcanic Province,No data,No data,no data,basalt,flw.BAS.Lnd.Cnd.End,lava flows,basalt,no data,no data,no data,volcanic,WalkGW1967Tob,12192,306,99,9174.63011,4344514.53
1283,WalkGW1967,Tjd,John Day Formation,vlc.EO.jdcl.jd.nd.nd.fel,volcaniclastic rocks,Eocene/Oligocene,John Day/Clarno Group,John Day Formation,No data,no data,felsic composition lithologies,sv.MIX.Lsd.CGsd.End,sedimentary/volcanic rocks,mixed lithologies,some data,some data crystals/grains,no data,volcanic,WalkGW1967Tjd,12191,306,99,7279.390516,2920596.632
1284,WalkGW1967,Qal,Alluvium and surficial aeolian deposits,sed.Q.qsd.al.nd.nd.mix,sediments,Quaternary,Quaternary surficial deposits,Alluvial deposits,No data,no data,mixed grained sediments,unc.MIX.Lnd.Gslt_gvl.End,unconsolidated rocks,mixed lithologies,no data,silt to gravel grains,no data,surficial sediments,WalkGW1967Qal,12163,306,99,8869.420929,2222752.784
1285,WalkGW1967,Qal,Alluvium and surficial aeolian deposits,sed.Q.qsd.al.nd.nd.mix,sediments,Quaternary,Quaternary surficial deposits,Alluvial deposits,No data,no data,mixed grained sediments,unc.MIX.Lnd.Gslt_gvl.End,unconsolidated rocks,mixed lithologies,no data,silt to gravel grains,no data,surficial sediments,WalkGW1967Qal,12163,306,99,14589.45702,4458533.304
1286,WalkGW1967,Tjd,John Day Formation,vlc.EO.jdcl.jd.nd.nd.fel,volcaniclastic rocks,Eocene/Oligocene,John Day/Clarno Group,John Day Formation,No data,no data,felsic composition lithologies,sv.MIX.Lsd.CGsd.End,sedimentary/volcanic rocks,mixed lithologies,some data,some data crystals/grains,no data,volcanic,WalkGW1967Tjd,12191,306,99,4597.075694,1179057.986
1287,WalkGW1967,QTg,Pediment gravels,sed.TQ.nsr.ter.nd.nd.mix,sediments,Tertiary/Quaternary,Neogene sedimentary rocks,Terrace deposits,No data,no data,mixed grained sediments,sed.GVL.Lnd.Gpeb.End,sediments,gravel,no data,pebble grains,no data,surficial sediments,WalkGW1967QTg,12178,306,99,8668.011981,3093675
1288,WalkGW1967,Twt,"Tuffaceous sedimentary rocks, tuffs, and interbedded basalt and andesite flows",vlc.M.hbv.rt.nd.nd.aft,volcaniclastic rocks,Miocene,Harney Basin Volcanic Field,Rattlesnake Ashflow Tuff,No data,no data,ashflow tuff,vlc.TFF.Lnd.Gnd.End,volcaniclastic rocks,tuff,no data,no data,no data,volcanic,WalkGW1967Twt,12198,306,99,10643.73782,4721290.836
1289,WalkGW1967,Tjd,John Day Formation,vlc.EO.jdcl.jd.nd.nd.fel,volcaniclastic rocks,Eocene/Oligocene,John Day/Clarno Group,John Day Formation,No data,no data,felsic composition lithologies,sv.MIX.Lsd.CGsd.End,sedimentary/volcanic rocks,mixed lithologies,some data,some data crystals/grains,no data,volcanic,WalkGW1967Tjd,12191,306,99,7287.849483,2514544.554
1290,WalkGW1967,Tva,Volcanic rocks,vol.M.nvr.nd.nd.nd.and,volcanic rocks,Miocene,Neogene volcanic rocks,No data,No data,no data,andesite,flw.AND_DAC.Lplt.Cnd.End,lava flows,andesite/dacite,platy,no data,no data,volcanic,WalkGW1967Tva,12196,306,99,85835.98879,307285656.5
1291,WalkGW1967,Tjd,John Day Formation,vlc.EO.jdcl.jd.nd.nd.fel,volcaniclastic rocks,Eocene/Oligocene,John Day/Clarno Group,John Day Formation,No data,no data,felsic composition lithologies,sv.MIX.Lsd.CGsd.End,sedimentary/volcanic rocks,mixed lithologies,some data,some data crystals/grains,no data,volcanic,WalkGW1967Tjd,12191,306,99,9926.315174,3652420.862
1292,WalkGW1967,Tjd,John Day Formation,vlc.EO.jdcl.jd.nd.nd.fel,volcaniclastic rocks,Eocene/Oligocene,John Day/Clarno Group,John Day Formation,No data,no data,felsic composition lithologies,sv.MIX.Lsd.CGsd.End,sedimentary/volcanic rocks,mixed lithologies,some data,some data crystals/grains,no data,volcanic,WalkGW1967Tjd,12191,306,99,63126.83849,41901500.7
1293,WalkGW1967,Tjd,John Day Formation,vlc.EO.jdcl.jd.nd.nd.fel,volcaniclastic rocks,Eocene/Oligocene,John Day/Clarno Group,John Day Formation,No data,no data,felsic composition lithologies,sv.MIX.Lsd.CGsd.End,sedimentary/volcanic rocks,mixed lithologies,some data,some data crystals/grains,no data,volcanic,WalkGW1967Tjd,12191,306,99,5586.95811,1913825.079
1294,WalkGW1967,Tcr1,Basalt and basaltic andesite of Columbia River Group,vol.M.cr.prn.nd.nd.bas,volcanic rocks,Miocene,Columbia River Basalt Group,Prineville Basalt,No data,no data,basalt,flw.BAS.Lnd.Cf.Emix,lava flows,basalt,no data,fine crystals,mixed,volcanic,WalkGW1967Tcr1,12190,306,99,105293.6268,45675826.33
1295,WalkGW1967,Tjd,John Day Formation,vlc.EO.jdcl.jd.nd.nd.fel,volcaniclastic rocks,Eocene/Oligocene,John Day/Clarno Group,John Day Formation,No data,no data,felsic composition lithologies,sv.MIX.Lsd.CGsd.End,sedimentary/volcanic rocks,mixed lithologies,some data,some data crystals/grains,no data,volcanic,WalkGW1967Tjd,12191,306,99,8290.688126,2166532.843
1296,WalkGW1967,Tcr,Basalt and basaltic andesite of Columbia River Group,vol.M.cr.pg.nd.nd.bas,volcanic rocks,Miocene,Columbia River Basalt Group,Picture Gorge Basalt,No data,no data,basalt,flw.BAS.Lnd.Cf.Emix,lava flows,basalt,no data,fine crystals,mixed,volcanic,WalkGW1967Tcr,12189,306,99,12458.89614,7869373.567
1297,WalkGW1967,Ta,"Andesite flows, breccias, and sedimentary rocks",vlc.EO.jdcl.cl.nd.nd.mix,volcaniclastic rocks,Eocene/Oligocene,John Day/Clarno Group,Clarno Formation,No data,no data,mixed lithologies,sv.AND_MFB.Lnd.CGnd.End,sedimentary/volcanic rocks,andesite/mudflow breccia,no data,no data,no data,volcanic,WalkGW1967Ta,12186,306,99,14629.73221,7719210.765
1298,WalkGW1967,Ta,"Andesite flows, breccias, and sedimentary rocks",vlc.EO.jdcl.cl.nd.nd.mix,volcaniclastic rocks,Eocene/Oligocene,John Day/Clarno Group,Clarno Formation,No data,no data,mixed lithologies,sv.AND_MFB.Lnd.CGnd.End,sedimentary/volcanic rocks,andesite/mudflow breccia,no data,no data,no data,volcanic,WalkGW1967Ta,12186,306,99,16587.21923,7179122.485
1299,WalkGW1967,Tjd,John Day Formation,vlc.EO.jdcl.jd.nd.nd.fel,volcaniclastic rocks,Eocene/Oligocene,John Day/Clarno Group,John Day Formation,No data,no data,felsic composition lithologies,sv.MIX.Lsd.CGsd.End,sedimentary/volcanic rocks,mixed lithologies,some data,some data crystals/grains,no data,volcanic,WalkGW1967Tjd,12191,306,99,4348.172343,1017151.834
1300,WalkGW1967,Qal,Alluvium and surficial aeolian deposits,sed.Q.qsd.al.nd.nd.mix,sediments,Quaternary,Quaternary surficial deposits,Alluvial deposits,No data,no data,mixed grained sediments,unc.MIX.Lnd.Gslt_gvl.End,unconsolidated rocks,mixed lithologies,no data,silt to gravel grains,no data,surficial sediments,WalkGW1967Qal,12163,306,99,22474.09987,9096862.573
1301,WalkGW1967,Ta,"Andesite flows, breccias, and sedimentary rocks",vlc.EO.jdcl.cl.nd.nd.mix,volcaniclastic rocks,Eocene/Oligocene,John Day/Clarno Group,Clarno Formation,No data,no data,mixed lithologies,sv.AND_MFB.Lnd.CGnd.End,sedimentary/volcanic rocks,andesite/mudflow breccia,no data,no data,no data,volcanic,WalkGW1967Ta,12186,306,99,34281.69573,52047991.88
1302,WalkGW1967,Tcr,Basalt and basaltic andesite of Columbia River Group,vol.M.cr.pg.nd.nd.bas,volcanic rocks,Miocene,Columbia River Basalt Group,Picture Gorge Basalt,No data,no data,basalt,flw.BAS.Lnd.Cf.Emix,lava flows,basalt,no data,fine crystals,mixed,volcanic,WalkGW1967Tcr,12189,306,99,4992.890772,1349986.713
1303,WalkGW1967,Tjd,John Day Formation,vlc.EO.jdcl.jd.nd.nd.fel,volcaniclastic rocks,Eocene/Oligocene,John Day/Clarno Group,John Day Formation,No data,no data,felsic composition lithologies,sv.MIX.Lsd.CGsd.End,sedimentary/volcanic rocks,mixed lithologies,some data,some data crystals/grains,no data,volcanic,WalkGW1967Tjd,12191,306,99,5283.585464,1187408.228
1304,WalkGW1967,Qal,Alluvium and surficial aeolian deposits,sed.Q.qsd.al.nd.nd.mix,sediments,Quaternary,Quaternary surficial deposits,Alluvial deposits,No data,no data,mixed grained sediments,unc.MIX.Lnd.Gslt_gvl.End,unconsolidated rocks,mixed lithologies,no data,silt to gravel grains,no data,surficial sediments,WalkGW1967Qal,12163,306,99,32863.40934,16173254.6
1305,WalkGW1967,Tjd,John Day Formation,vlc.EO.jdcl.jd.nd.nd.fel,volcaniclastic rocks,Eocene/Oligocene,John Day/Clarno Group,John Day Formation,No data,no data,felsic composition lithologies,sv.MIX.Lsd.CGsd.End,sedimentary/volcanic rocks,mixed lithologies,some data,some data crystals/grains,no data,volcanic,WalkGW1967Tjd,12191,306,99,30576.9853,14922915.73
1306,WalkGW1967,Tjd,John Day Formation,vlc.EO.jdcl.jd.nd.nd.fel,volcaniclastic rocks,Eocene/Oligocene,John Day/Clarno Group,John Day Formation,No data,no data,felsic composition lithologies,sv.MIX.Lsd.CGsd.End,sedimentary/volcanic rocks,mixed lithologies,some data,some data crystals/grains,no data,volcanic,WalkGW1967Tjd,12191,306,99,6636.918787,2459111.848
1307,WalkGW1967,Tjd,John Day Formation,vlc.EO.jdcl.jd.nd.nd.fel,volcaniclastic rocks,Eocene/Oligocene,John Day/Clarno Group,John Day Formation,No data,no data,felsic composition lithologies,sv.MIX.Lsd.CGsd.End,sedimentary/volcanic rocks,mixed lithologies,some data,some data crystals/grains,no data,volcanic,WalkGW1967Tjd,12191,306,99,96452.61642,72606597.96
1308,WalkGW1967,Tcr,Basalt and basaltic andesite of Columbia River Group,vol.M.cr.pg.nd.nd.bas,volcanic rocks,Miocene,Columbia River Basalt Group,Picture Gorge Basalt,No data,no data,basalt,flw.BAS.Lnd.Cf.Emix,lava flows,basalt,no data,fine crystals,mixed,volcanic,WalkGW1967Tcr,12189,306,99,11990.66866,6459071.479
1309,WalkGW1967,Tjd,John Day Formation,vlc.EO.jdcl.jd.nd.nd.fel,volcaniclastic rocks,Eocene/Oligocene,John Day/Clarno Group,John Day Formation,No data,no data,felsic composition lithologies,sv.MIX.Lsd.CGsd.End,sedimentary/volcanic rocks,mixed lithologies,some data,some data crystals/grains,no data,volcanic,WalkGW1967Tjd,12191,306,99,10273.48204,6109984.254
